global_position,country_code,team_name,country,global_pnl
1,AU,yuh,Australia,213845.0
2,NL,Negative Eevee,Netherlands,211240.0
3,AU,Vibing,Australia,209841.0
4,US,Seven Deuce Capital,United States,208281.0
5,GB,DU Trading,United Kingdom,208206.0
6,GB,DU Market Makers,United Kingdom,207536.0
7,US,The Big Posteriors,United States,207376.0
8,GB,DU Quant,United Kingdom,207310.0
9,NL,Une Baguette Fromage,Netherlands,207308.0
10,GB,DU Trading Desk,United Kingdom,207286.0
11,US,optieverhandelaaren,United States,206581.0
12,US,Flowstate,United States,206190.0
13,AU,Prosperity Crushers,Australia,205792.0
14,AU,broke like joc,Australia,205728.0
15,GB,Hexatech,United Kingdom,205619.0
16,AU,prosperity 2 man,Australia,205586.0
17,GB,DU Market Making,United Kingdom,205534.0
18,GB,guan,United Kingdom,205367.0
19,PL,ShrimpTrading,Poland,205347.0
20,US,72 Sigma,United States,205284.0
21,AU,63-bit integers,Australia,204923.0
22,CA,Exodia,Canada,204851.0
23,IN,DannyNegru,India,204679.0
24,RS,nema problema ovde,Serbia,204396.0
25,US,porridge,United States,204126.0
26,IT,Arcadia 2,Italy,203995.0
27,CH,Open for Quant Jobs,Switzerland,203861.0
28,AU,BASTION,Australia,203419.0
29,US,John Slope,United States,203243.0
30,AU,gacrux,Australia,203099.0
31,AU,final position 10 at 15,Australia,203073.0
32,IN,Algoholicz,India,202521.0
33,IN,BlackSouls,India,202239.0
34,US,fenn,United States,202036.0
35,US,CCC_v2,United States,201835.0
36,US,Jaded,United States,201738.0
37,IN,CarbonBlack,India,200980.0
38,IN,Infinity Stones,India,200940.0
39,DE,cRashCrafters,Germany,200388.0
40,IN,Gorlock,India,200159.0
41,IN,Myname,India,200136.0
42,US,second_best,United States,200039.0
43,IN,Space Monkeys,India,199705.0
44,IN,Cosmic Latte,India,199704.0
45,DE,Alien,Germany,199535.0
46,US,Euporia,United States,199429.0
47,US,drunken noodles,United States,199274.0
48,US,abacus,United States,199213.0
49,DE,TUMorrow Traders,Germany,198940.0
50,CH,Beauty Hunters,Switzerland,198746.0
51,US,DCJ9,United States,198672.0
52,IN,Poverty,India,198670.0
53,CH,TatooineTraders,Switzerland,198513.0
54,AU,Fortune,Australia,198376.0
55,AU,ICT Mogged,Australia,198372.0
56,HK,Yin,Hong Kong,198365.0
57,AT,WanderingTraders,Austria,198175.0
58,US,HATSK,United States,198035.0
59,CH,BelmonteHunters,Switzerland,197912.0
60,PH,Caustic Orbifold,Philippines,197899.0
61,ID,kumon,Indonesia,197767.0
62,GB,CUATS 2,United Kingdom,197700.0
63,TW,1112233,Taiwan,197526.0
64,GB,test1,United Kingdom,197398.0
65,DE,Solarflare,Germany,197110.0
66,ES,Vega,Spain,196691.0
67,CA,Uvic lions,Canada,196400.0
68,AU,unknownpophaha,Australia,196200.0
69,CA,Waterloo Courtsiders,Canada,196176.0
70,ES,Alphito,Spain,196167.0
71,CN,AgentLab,China,196135.0
72,GB,Keble Kwants,United Kingdom,196086.0
73,ES,Grand Theft Alpha,Spain,195922.0
74,IN,Twisted Minds,India,195575.0
75,US,Jane Avenue,United States,195471.0
76,IN,Margin Call Mafia,India,195426.0
77,PT,PMQuants,Portugal,195276.0
78,US,Secret Sauce,United States,195187.0
79,GB,dih,United Kingdom,194947.0
80,DK,RealCityScape,Denmark,194769.0
81,US,bear,United States,194524.0
82,CO,XIREC Collectors,Colombia,194455.0
83,FR,Centrale Alpha Fund,France,194355.0
